Subcategory name;Subcategory code;nvcrTimeSerieAreaName;Catalogue code;Measure name;Measure code
;;;;ME fuel maneuvering total;MEFUMATO
;;;;ME fuel maneuvering unloaded;MEFUMAUL
;;;;ME fuel moving loaded;MEFUMVLO
;;;;ME fuel moving total;MEFUMVTO
;;;;ME fuel moving unloaded;MEFUMVUL
;;;;ME fuel per day maneuvering loaded;MEPDMALO
;;;;ME fuel per day maneuvering total;MEPDMATO
;;;;ME fuel per day maneuvering unloaded;MEPDMAUL
;;;;ME fuel per day moving loaded;MEPDMVLO
;;;;ME fuel per day moving total;MEPDMVTO
;;;;ME fuel per day moving unloaded;MEPDMVUL
;;;;ME fuel per day steaming loaded;MEPDSTLO
;;;;ME fuel per day steaming total;MEPDSTTO
;;;;ME fuel per day steaming unloaded;MEPDSTUL
;;;;ME fuel per day still loaded;MEPDSLLO
;;;;ME fuel per day still total;MEPDSLTO
;;;;ME fuel per day still unloaded;MEPDSLUL
;;;;ME fuel per day total total;MEPDTOTO
;;;;**ME fuel per nautical mile maneuvering loaded**;**MENMMALO**
;;;;**ME fuel per nautical mile maneuvering total**;**MENMMATO**
;;;;**ME fuel per nautical mile maneuvering unloaded**;**MENMMAUL**
;;;;**ME fuel per nautical mile moving loaded**;**MENMMVLO**
;;;;**ME fuel per nautical mile moving total**;**MENMMVTO**
;;;;**ME fuel per nautical mile moving unloaded**;**MENMMVUL**
;;;;**ME fuel per nautical mile steaming loaded**;**MENMSTLO**
;;;;**ME fuel per nautical mile steaming total**;**MENMSTTO**
;;;;**ME fuel per nautical mile steaming unloaded**;**MENMSTUL**
;;;;ME fuel steaming loaded;MEFUSTLO
;;;;ME fuel steaming total;MEFUSTTO
;;;;ME fuel steaming unloaded;MEFUSTUL
;;;;ME fuel still loaded;MEFUSLLO
;;;;ME fuel still total;MEFUSLTO
;;;;ME fuel still unloaded;MEFUSLUL
;;;;ME fuel total total;MEFUTOTO
;;;;ME MCR percent maneuvering loaded;MECRMALO
;;;;ME MCR percent maneuvering total;MECRMATO
;;;;ME MCR percent maneuvering unloaded;MECRMAUL
;;;;ME MCR percent moving loaded;MECRMVLO
;;;;ME MCR percent moving total;MECRMVTO
;;;;ME MCR percent moving unloaded;MECRMVUL
;;;;ME MCR percent steaming loaded;MECRSTLO
;;;;ME MCR percent steaming total;MECRSTTO
;;;;ME MCR percent steaming unloaded;MECRSTUL
;;;;ME MCR percent still loaded;MECRSLLO
;;;;ME MCR percent still total;MECRSLTO
;;;;ME MCR percent still unloaded;MECRSLUL
;;;;ME MCR percent total total;MECRTOTO
;;;;ME power maneuvering loaded;MEPWMALO
;;;;ME power maneuvering total;MEPWMATO
;;;;ME power maneuvering unloaded;MEPWMAUL
;;;;ME power moving loaded;MEPWMVLO
;;;;ME power moving total;MEPWMVTO
;;;;ME power moving unloaded;MEPWMVUL
;;;;ME power steaming loaded;MEPWSTLO
;;;;ME power steaming total;MEPWSTTO
;;;;ME power steaming unloaded;MEPWSTUL
;;;;ME power still loaded;MEPWSLLO
;;;;ME power still total;MEPWSLTO
;;;;ME power still unloaded;MEPWSLUL
;;;;ME power total total;MEPWTOTO
;;;;Observations number of total;OBSRNUTO
;;;;Speed maneuvering loaded;SPEDMALO
;;;;Speed maneuvering total;SPEDMATO
;;;;Speed maneuvering unloaded;SPEDMAUL
;;;;Speed moving loaded;SPEDMVLO
;;;;Speed moving total;SPEDMVTO
;;;;Speed moving unloaded;SPEDMVUL
;;;;**Speed steaming loaded**;**SPEDSTLO**
;;;;**Speed steaming total**;**SPEDSTTO**
;;;;**Speed steaming unloaded**;**SPEDSTUL**
;;;;Speed still total;SPEDSLTO
;;;;Speed total total;SPEDTOTO
;;;;Standard Ship Design Name;VESSSDNA
;;;;Time anchored loaded;TIMEANLO
;;;;Time anchored total;TIMEANTO
;;;;Time anchored unloaded;TIMEANUL
;;;;Time at yard loaded;TIMEYALO
;;;;Time at yard total;TIMEYATO
;;;;Time at yard unloaded;TIMEYAUL
;;;;Time maneuvering loaded;TIMEMALO
;;;;Time maneuvering total;TIMEMATO
;;;;Time maneuvering unloaded;TIMEMAUL
;;;;Time moored loaded;TIMEMOLO
;;;;Time moored total;TIMEMOTO
;;;;Time moored unloaded;TIMEMOUL
;;;;Time moving loaded;TIMEMVLO
;;;;Time moving total;TIMEMVTO
;;;;Time moving unloaded;TIMEMVUL
;;;;Time out of traffic loaded;TIMEOTLO
;;;;Time out of traffic total;TIMEOTTO
;;;;Time out of traffic unloaded;TIMEOTUL
;;;;Time silent max;TIMESIMA
;;;;Time silent steaming max;TIMESSMA
;;;;Time steaming loaded;TIMESTLO
;;;;Time steaming total;TIMESTTO
;;;;Time steaming unloaded;TIMESTUL
;;;;Time still loaded;TIMESLLO
;;;;Time still total;TIMESLTO
;;;;Time still undefined loaded;TIMESULO
;;;;Time still undefined total;TIMESUTO
;;;;Time still undefined unloaded;TIMESUUL
;;;;Time still unloaded;TIMESLUL
;;;;Time total total;TIMETOTO
;;;;Time total total loaded;TIMETOLO
;;;;Time total total unloaded;TIMETOUL
;;;;Total fuel anchored loaded;TOFUANLO
;;;;Total fuel anchored total;TOFUANTO
;;;;Total fuel anchored unloaded;TOFUANUL
;;;;Total fuel at yard loaded;TOFUYALO
